image_id,discard_reason,technical_warning_name
722.png,demasiados componentes/células segmentadas,warning_too_many_components
723.png,demasiados componentes/células segmentadas,warning_too_many_components
729.png,demasiados componentes/células segmentadas,warning_too_many_components
730.png,demasiados componentes/células segmentadas,warning_too_many_components
731.png,demasiados componentes/células segmentadas,warning_too_many_components
732.png,demasiados componentes/células segmentadas,warning_too_many_components
733.png,demasiados componentes/células segmentadas,warning_too_many_components
736.png,demasiados componentes/células segmentadas,warning_too_many_components
737.png,demasiados componentes/células segmentadas,warning_too_many_components
738.png,demasiados componentes/células segmentadas,warning_too_many_components
740.png,demasiados componentes/células segmentadas,warning_too_many_components
741.png,demasiados componentes/células segmentadas,warning_too_many_components
743.png,demasiados componentes/células segmentadas,warning_too_many_components
744.png,demasiados componentes/células segmentadas,warning_too_many_components
745.png,demasiados componentes/células segmentadas,warning_too_many_components
746.png,demasiados componentes/células segmentadas,warning_too_many_components
747.png,demasiados componentes/células segmentadas,warning_too_many_components
748.png,demasiados componentes/células segmentadas,warning_too_many_components
749.png,demasiados componentes/células segmentadas,warning_too_many_components
750.png,demasiados componentes/células segmentadas,warning_too_many_components
755.png,demasiados componentes/células segmentadas,warning_too_many_components
759.png,demasiados componentes/células segmentadas,warning_too_many_components
761.png,demasiados componentes/células segmentadas,warning_too_many_components
762.png,demasiados componentes/células segmentadas,warning_too_many_components
763.png,demasiados componentes/células segmentadas,warning_too_many_components
765.png,demasiados componentes/células segmentadas,warning_too_many_components
767.png,demasiados componentes/células segmentadas,warning_too_many_components
768.png,demasiados componentes/células segmentadas,warning_too_many_components
770.png,demasiados componentes/células segmentadas,warning_too_many_components
783.png,demasiados componentes/células segmentadas,warning_too_many_components
787.png,demasiados componentes/células segmentadas,warning_too_many_components
790.png,demasiados componentes/células segmentadas,warning_too_many_components
799.png,demasiados componentes/células segmentadas,warning_too_many_components
801.png,demasiados componentes/células segmentadas,warning_too_many_components
802.png,demasiados componentes/células segmentadas,warning_too_many_components
805.png,demasiados componentes/células segmentadas,warning_too_many_components
808.png,demasiados componentes/células segmentadas,warning_too_many_components
810.png,demasiados componentes/células segmentadas,warning_too_many_components
